Account,Token Account,Quantity,Percentage
EDBVFpdkC9gGTD6NDkfxynx2j2pYo3s9e2EZ8ho9mzS7,AQYgN2QVaGRNJwehi5LgcvUJMymGPsonjySZdMrGnQwD,768577.54,0.08
7o9Bh6J1jQiQqQKWqjCcKuUwZuU4dnHiL7sZSdGwxPtQ,BbiVfEBLWBJZBDQafRdgCajSzaLfGwtAjk6TEYhubDxg,765758.41,0.08
25mYnjJ2MXHZH6NvTTdA63JvjgRVcuiaj6MRiEQNs1Dq,3Ac8YtpMMLFWQjz33sSHWzYFa9k45rD7yHw1cHcgRX5x,760843.32,0.08
FPjSoauAXtMmqNYw432n5wcWCkws32V1yDkefntFzxGa,6WSXJY7oawXAHC8kxNj9YJ6oCyQz83Ykfwx1r6VBLGUo,753975.40,0.08
7KQrcajdGWrvk87DhSkRPvG2u6pmQrP1rBDhsCoFwtG2,66W6mMEvDoZXXddpvYaDbw79dm5hyZgi8YtaXf6Weqkp,751535.23,0.08
7X8wupEAjguvc9dUEuRNa6TduKJvMFGch6ugkveUrJTX,CjBfYtiyUWn3TtebdQMnwAhAPXiVjrZS4yMjC2xZRniq,750290.93,0.08
AKtujckiEVrCLTRkHgiVNn11MntGdnaUnhqsFAxZAepn,BspDgot8xc3nBetFBNevpvHS4tmrEawWXxgoJEG2Mn3J,734437.40,0.07
GVpzmmuYeePNCXUFBQahYQGwgJdthKaM9KzedGjLi1bm,3wFqe8HhWw1VR2ToSBmLFJ9SNKSAH6CUARBmqDEkbsto,715263.62,0.07
GvDe9sseZHjxm159FSU1uLsKrFa2P5GM9cHe9oSBZd4V,EzR92zJJeBRhHaFnctVZNxCXEd63TANcpm5dCeknafCu,702949.87,0.07
FBb6zZqBsa2a8opC6gg3VTf6ZoJFhMP38RKdicPC5qr1,12YPbpKqkvzR75ejyCMqmK4vdGs4ExAXzHCnMwdAjquV,695769.77,0.07
FAonLjpwRX8nPNJxJaTSXekdEp4FHo1tS25tkZb6omXc,5Bjc3i5Ld8VkdmonL8o6Vom7dq5kJjvn9kbza5CEXJYY,635462.06,0.06
DeeCqMzWZ1bCiMVUaZdWJoBvrMCWTzLVgpnHM5qqaSLZ,5TnBRM6mvQwroDg6nTKSk79e7BiigKyrMu4NFaXhEUYu,623277.98,0.06
2NengaaGAdKBBqpcivWSvzRX8Lr4fdrgXmE6LvqRpKud,BwfaxaX4sQAr2csxpBptc1GbjX444pJpBYz5i7QMi18m,621844.77,0.06
HQ4gHntAUdrqNXVcyM91asvQwpaDP9f1QKtcrBkWmbAX,F9aRCGaj6vCiXLHC2BiNXuGohVE4Fadkhxts9DJLBFoS,606108.73,0.06
7YxUrFDGWYbtaTtqL82b7ZaA297tdVxFmXo8yeYhiW6f,BKFJyT6FeTFmmYRgpRYcjM6Uzhg9L8BnKcwq7T2pdfYn,599005.87,0.06
