Account,Token Account,Quantity,AIRDROP
7fLzvPNeVrxPhugJg2JEC2LAuAgmqJXWHibHF1Mm7ZTN,CjBK4hmS1yfMnp3xjQUZdX5RrNGG3Jguf1nD5oS5Y14C,600000.52,6000005.2
7YxUrFDGWYbtaTtqL82b7ZaA297tdVxFmXo8yeYhiW6f,BKFJyT6FeTFmmYRgpRYcjM6Uzhg9L8BnKcwq7T2pdfYn,599005.87,5990058.7
3CZBRup85uD7yyUYWQdy1hXJs5CBant9yFQnQhq7XMdE,4HCbc1wBZewf2rWBBVu6zbDFX4bodT7MF8pXLL4pYgRw,584678.31,5846783.1
GVpzmmuYeePNCXUFBQahYQGwgJdthKaM9KzedGjLi1bm,3wFqe8HhWw1VR2ToSBmLFJ9SNKSAH6CUARBmqDEkbsto,582741.71,5827417.1
B6xS2qKWnwoCNG3qvwvT6YUeYAsLtQDSacEkQFodLQQu,6vdwd9afVkGnYsMHARNP4b23q2DBg5Zsu4tQK1tHoqvC,579915.59,5799155.9
6XRUSpewZGiqprWehq4f4pkSE3H9hjHhkenGKiDMdg7b,B5imSSUNYbbkHKitF2EZ6wb17k2mW5joH1NgEtuQTYV4,570895.47,5708954.7
8axpRSPToyikR38C83mrTwZ99NoEPuFF8DzyRdsYC4YL,HTzqb8nkwFxQfrajEL2aRYvzQJimuZqxswXga7BHsR5D,552549.26,5525492.6
7oST7pqYvxnvQwcFsdMcX2A4onYwdbu8yo4EFUVmi99,4Kw6mh1h65GeA1mxZKExxB9G4noMdTmdtyCJt4SjZnm1,541946.16,5419461.6
ELWPwWWF8XjqyQzophhiNmwbMmWtDtugGyejRSWJASLT,FS1pYm8XVycFtN9oi7MWXtKWya6nTKoqXNUNNN8MXBAR,541859.97,5418599.7
2MPjKHPzP78GuQrVKSJB8EpjHizP6UvqAEEeFbbK8Ax8,66deA3BW7HTWusE8WAmt4koFGcn1DXLKhQCEEeYRgE7i,529540.25,5295402.5
8GVAjckX2aus84tYHjC1XDWmurG76hNjNyaR7V21c8MR,67uFJ8V6eXddj9fhCH4sdpcHwCR76MbPeKU8X8wAgTqw,500000,5000000
3qK32HLqx3k7gt5xMe3wb1TP3MFzHWyCf4xYRKg5WkF7,CYGGHRxPEfkbSWwQAtu8M9HfJqLhV737S6vzZgyuF9Cz,489587.79,4895877.9
T5FGU3xTNb6HkkFM2xJYQt5wbVmiEc9aJo3Wx1gsAtF,HWCw4bprc2LNHe8VSC7QuMgu8CJ8fysUt4oyQs2qBSZE,474482.17,4744821.7
C25yZuWNRxvrxKV4PK7ZWDYjoZ3e1nK8Mf4cwasVAQTH,3CEanZnNQLMeShaPMN349Lp8o7b8gEh6nc9FQZyoXmwg,465330.61,4653306.1
B36gY52xxE5jTm77CcPiemtpqEnif6Lcw3Qh2TcjdZY1,HVHWDjPECPNnJYqavLrXnpiu3X1zzjApYcKVYpcixQK1,456090.95,4560909.5
GXRw4h2aomLq1nQ7CQqHtaniptDaWCP9Go6jfVATRJaS,2GUru6BqcWyPytVYbLWZPUKC1kjwBBYesRavHv9YiN6t,445687.19,4456871.9
2h8mTXHU4caeJEw6eq6SyAS9uVF4FEcF52K28AJQ27Hj,HWRzdHAUJBjb8LNWNfWXq5HF27rrVTpnk9Y4S31pYMyK,444770.56,4447705.6
9r9T4GskNv9X8LhUGep9rqxNz9L7ttYHS3QYmxPhyZd8,FQzpvkZfwEuwi7U6xPTpJrUm9APoGFrJLFnLYGbn8muD,441565.29,4415652.9
F4ZaZGPdEMKJA14V6agGtPaXec4RmtVUgBXJZvr8yXJa,9g7J27Md8Yqnvt9u2uSkrkK8Hg8apAPf25FsYKFJLSSZ,428355.4,4283554
AS6yB1sxDsaBEqwSfmjtYncT37bL7UeKh87aVUsuWaTo,F3xfk63G1en98T9REKzbfByLUveXoo6L612y8AqP6LhH,427027.79,4270277.9
61UCPTTL3obrJx8j2swoKXsENSDqWYopSoUVm7fu9sMT,DREcQYq1rHQ7DT6auP7wEf18BqiYvamyugLFDf6Wa3gQ,425594.18,4255941.8
DnvAAzEYTvCBRdXfZS52Cjm5Bg6gySgyHL6UYpkJPaw5,4dfCLQ9SWP4fuMndfMNi7Ng1r8ErY6XGu3qfY4UiHjLe,417912.29,4179122.9
2ajCymqMvtLvZGv64zSQ5dTZaG5Ugjyo7iJQf9tvrw9U,B61Ly97zMjewz7j1JXyTkMuhoTAedrNTqUVTJNK6nmyf,397081.63,3970816.3
DK7J5z9KegUfbgaczQVLMtcfjpRCmMG9h5VpgwrPFt9Q,DRadHKCTQfAXukCn55y3qnbAb4UmhELdDn8waAzTZYtQ,391244.48,3912444.8
ECuwiGrL86YJTSyZrYVv1mP8iQevStdFb8FxGvwKmNpb,Gvjfs56AcTupWKkqpcxxxvzw8VXzovqWbSY4G72149Lw,389536.04,3895360.4
6WKPhJYQqY6D8GpNzFxhVoWmrMTnvVGC1bGVZfm8SD7U,6ghUuJWQgMAn12LYVeXkRf6gMtu4hUddGMiS2cUp8cW6,382447.96,3824479.6
